Num,BEARID,Sex,Date,Time,Lat,Lon
364,1130,F,20050818,20:00:00,68.6726,-134.1269
365,1130,F,20050819,0:00:00,68.6723,-134.1256
366,1130,F,20050821,4:00:00,68.7098,-134.1865
367,1130,F,20050821,8:01:00,68.7116,-134.1915
368,1130,F,20050821,12:00:00,68.709,-134.1898
369,1130,F,20050821,16:01:00,68.7147,-134.2003
370,1130,F,20050821,20:00:00,68.7072,-134.1859
371,1130,F,20050822,0:00:00,68.7059,-134.1906
372,1130,F,20050822,8:01:00,68.7063,-134.2031
373,1130,F,20050822,12:00:00,68.7064,-134.2029
374,1130,F,20050822,16:01:00,68.7043,-134.2028
375,1130,F,20050822,20:01:00,68.7039,-134.1912
376,1130,F,20050823,0:00:00,68.7133,-134.1733
377,1130,F,20050824,4:01:00,68.7142,-134.1966
378,1130,F,20050824,8:00:00,68.7122,-134.1993
379,1130,F,20050824,16:00:00,68.7111,-134.1867
380,1130,F,20050824,20:01:00,68.7137,-134.1999
381,1130,F,20050825,0:01:00,68.7156,-134.203
382,1130,F,20050825,4:00:00,68.7086,-134.186
383,1130,F,20050825,16:00:00,68.7069,-134.1896
384,1130,F,20050825,20:00:00,68.7093,-134.1852
385,1130,F,20050826,0:00:00,68.7086,-134.186
386,1130,F,20050826,8:00:00,68.7171,-134.1583
387,1130,F,20050826,12:01:00,68.7167,-134.1595
388,1130,F,20050826,16:00:00,68.7051,-134.1947
389,1130,F,20050826,20:01:00,68.7041,-134.2047
390,1130,F,20050827,0:00:00,68.705,-134.2028
391,1130,F,20050827,12:01:00,68.697,-134.2083
392,1130,F,20050827,16:00:00,68.6797,-134.199
393,1130,F,20050827,20:02:00,68.6773,-134.1811
394,1130,F,20050828,0:01:00,68.6737,-134.1451
395,1130,F,20050828,12:00:00,68.6519,-134.1348
396,1130,F,20050828,16:00:00,68.6522,-134.1631
397,1130,F,20050828,20:00:00,68.6724,-134.1797
398,1130,F,20050829,0:00:00,68.6768,-134.1808
399,1130,F,20050830,8:01:00,68.7071,-134.1886
400,1130,F,20050830,12:01:00,68.7071,-134.1887
401,1130,F,20050830,16:01:00,68.7201,-134.1743
402,1130,F,20050830,20:00:00,68.7134,-134.1933
403,1130,F,20050831,0:00:00,68.7098,-134.187
404,1130,F,20050831,4:01:00,68.7048,-134.1964
405,1130,F,20050831,8:00:00,68.7085,-134.2099
406,1130,F,20050831,12:00:00,68.7086,-134.2098
407,1130,F,20050831,16:00:00,68.7056,-134.2059
408,1130,F,20050831,20:01:00,68.7046,-134.1929
409,1130,F,20050901,0:00:00,68.7084,-134.1865
410,1130,F,20050903,8:00:00,68.6735,-134.1279
411,1130,F,20050903,12:01:00,68.6735,-134.128
412,1130,F,20050903,16:00:00,68.6808,-134.0987
413,1130,F,20050903,20:00:00,68.6686,-134.1207
414,1130,F,20050904,0:02:00,68.6725,-134.1261
415,1130,F,20050905,4:00:00,68.6693,-134.1261
416,1130,F,20050905,8:01:00,68.6678,-134.1222
417,1130,F,20050905,12:02:00,68.6678,-134.1222
418,1130,F,20050905,16:01:00,68.6687,-134.1254
419,1130,F,20050905,20:01:00,68.6691,-134.1002
420,1130,F,20050906,0:01:00,68.6715,-134.124
421,1130,F,20050907,4:01:00,68.6305,-134.0374
422,1130,F,20050907,8:01:00,68.6544,-134.1031
423,1130,F,20050907,12:01:00,68.6545,-134.1035
424,1130,F,20050907,16:00:00,68.6675,-134.1245
425,1130,F,20050907,20:01:00,68.6689,-134.1256
426,1130,F,20050908,4:01:00,68.6766,-134.132
427,1130,F,20050908,8:01:00,68.6787,-134.1321
428,1130,F,20050908,12:00:00,68.6787,-134.1322
429,1130,F,20050908,16:01:00,68.6778,-134.1319
430,1130,F,20050908,20:00:00,68.6768,-134.1317
431,1130,F,20050909,0:01:00,68.6765,-134.1285
432,1130,F,20050911,8:01:00,68.6899,-134.2093
433,1130,F,20050911,20:01:00,68.6739,-134.1751
434,1130,F,20050912,0:01:00,68.6811,-134.1477
435,1130,F,20050913,8:01:00,68.657,-134.148
436,1130,F,20050913,16:01:00,68.6563,-134.1304
437,1130,F,20050913,20:01:00,68.6579,-134.132
438,1130,F,20050914,0:01:00,68.6655,-134.142
439,1130,F,20050915,8:00:00,68.6945,-134.1336
440,1130,F,20050915,12:00:00,68.6946,-134.1337
441,1130,F,20050915,16:00:00,68.6817,-134.1324
442,1130,F,20050915,20:00:00,68.68,-134.1311
443,1130,F,20050916,0:01:00,68.6797,-134.1304
444,1130,F,20050918,4:01:00,68.6678,-134.1243
445,1130,F,20050918,16:01:00,68.6684,-134.1245
446,1130,F,20050918,20:01:00,68.6727,-134.1271
447,1130,F,20050919,0:01:00,68.6734,-134.1273
448,1130,F,20050920,8:00:00,68.6596,-134.0931
449,1130,F,20050920,12:00:00,68.6506,-134.0973
450,1130,F,20050920,16:01:00,68.6544,-134.1041
451,1130,F,20050920,20:00:00,68.6678,-134.1237
452,1130,F,20050921,0:01:00,68.6703,-134.1264
453,1130,F,20050921,4:01:00,68.6715,-134.1263
454,1130,F,20050921,8:01:00,68.6718,-134.1262
455,1130,F,20050921,12:01:00,68.6715,-134.1264
456,1130,F,20050921,16:01:00,68.6744,-134.1278
457,1130,F,20050921,20:01:00,68.6734,-134.1272
458,1130,F,20050922,0:00:00,68.6738,-134.1276
459,1130,F,20050923,4:01:00,68.6805,-134.131
460,1130,F,20050923,8:00:00,68.6813,-134.1317
461,1130,F,20050923,12:00:00,68.6814,-134.1318
462,1130,F,20050924,0:01:00,68.6801,-134.1305
463,1130,F,20050928,8:01:00,68.7004,-134.2357
464,1130,F,20050928,12:01:00,68.7004,-134.2356
465,1130,F,20050928,16:01:00,68.7003,-134.234
466,1130,F,20050928,20:01:00,68.7007,-134.235
467,1130,F,20050929,0:02:00,68.6788,-134.195
468,1130,F,20050929,4:01:00,68.6781,-134.1966
469,1130,F,20050929,8:00:00,68.6784,-134.1958
470,1130,F,20050929,12:01:00,68.6784,-134.1958
471,1130,F,20050929,16:00:00,68.677,-134.2023
472,1130,F,20050929,20:01:00,68.6789,-134.1957
473,1130,F,20050930,0:00:00,68.6778,-134.1929
474,1130,F,20050930,4:01:00,68.6758,-134.1973
475,1130,F,20050930,12:00:00,68.6751,-134.1978
476,1130,F,20050930,16:01:00,68.6754,-134.1979
477,1130,F,20050930,20:00:00,68.6761,-134.194
478,1130,F,20051001,0:00:00,68.6747,-134.1909
479,1130,F,20051001,4:01:00,68.652,-134.1646
480,1130,F,20051001,8:00:00,68.6526,-134.166
481,1130,F,20051001,12:00:00,68.6526,-134.1662
482,1130,F,20051001,16:00:00,68.6528,-134.1664
483,1130,F,20051001,20:00:00,68.6547,-134.1682
484,1130,F,20051002,0:00:00,68.6576,-134.1661
485,1130,F,20051002,4:01:00,68.655,-134.1517
486,1130,F,20051002,8:01:00,68.655,-134.1517
487,1130,F,20051002,12:00:00,68.655,-134.1517
488,1130,F,20051002,16:00:00,68.6505,-134.1495
489,1130,F,20051002,20:00:00,68.6508,-134.146
490,1130,F,20051003,0:00:00,68.6507,-134.15
491,1130,F,20051004,4:02:00,68.6758,-134.1799
